metric_title,definition,metric_name
311 Call Center Performance,"The 311 call center is the City's constituent service center, staffed by highly-trained representatives ready to help you with requests for non-emergency City services and information. We aim to have our live agents answer 311 calls within 30 seconds at least 95% of the time.",311 CALL CENTER PERFORMANCE
Boston Fire Incidents,"An ""incident"" is an occurrence that requires action or support by emergency services (Boston Fire Department) to prevent or minimize loss of life or damage to property. A CityScore greater than 1 indicates a decrease in Boston Fire incidents relative to the historical average.",BFD INCIDENTS
Boston Fire Response Time,"When you call 911 to report an incident and Boston Fire is dispatched, we aim for the first fire truck to arrive on scene in four minutes or less from the time they leave the station at least 90% of the time.",BFD RESPONSE TIME
Boston Public Schools Attendance,We aim for at least 95% of enrolled students to be in attendance every day across all Boston Public Schools during the school year.,BPS ATTENDANCE
Code Enforcement On-Time %,"Public Works Code Enforcement Officers respond to constituent complaints about issues that violate State and City Sanitary Codes (improper storage of trash, unshoveled sidewalks, overgrown weeds). We aim to respond to at least 80% of these constituent complaints within two business days.",CODE ENFORCEMENT ON-TIME %
Code Enforcement Collection Within 24 Hours,"When our Public Works Code Enforcement officers issue violations for trash-related infractions like Illegal Dumping or Over-filling of Trash Barrels. They also create a 311 case for that trash to be picked up by our sanitation workers. We aim to collect that trash or debris within 24 hours at least 80% of the time.",CODE ENFORCEMENT TRASH COLLECTION
Constituent Satisfaction Surveys,"If you provide an email address when making a 311 request, you will be notified when your case is closed and asked to rate your experience. We aim to average at least 4 out of 5 on our constituent satisfaction surveys.",CITY SERVICES SATISFACTION SURVEYS
EMS Response Time,When you call 911 to report a life-threatening illness or injury it triggers a priority 1 EMS response. We aim for a median EMS response time of 6 minutes or less for priority 1 responses.,EMS RESPONSE TIME
Graffiti Removal On-Time %,The removal of graffiti on private property as requested by Boston residents and approved by property owners. We aim to remove at least 80% of this graffiti reported through 311 within 45 business days.,GRAFFITI ON-TIME %
Homicides,The killing of one person by another. A CityScore greater than 1 indicates a decrease in homicides relative to the historical average.,HOMICIDES (TREND)
Library Users,"If you use your library card to access a service through the Boston Public Library, such as to use a computer or to check out a book or e-book, you are considered an active library user. We want the number of active library users to increase.",LIBRARY USERS
Missed Trash On-Time %,"If your trash or recycling was put out on time but was not picked up, the Public Works Department will send a crew to inspect. We aim to inspect at least 80% of missed trash reported through 311 within 1 business day.",MISSED TRASH ON-TIME %
On-Time Permit Reviews,"For construction permits that require Building and Zoning review, we measure the number of calendar days from when a review is created and assigned (once the permit has been submitted, the initial administrative reviews completed, and the fees have been paid) to the review result. Reviews completed in 30 or fewer calendar days (including weekends and holidays) are considered on-time, and we aim to complete 100% of reviews on-time.",ON-TIME PERMIT REVIEWS
Parks Maintenance On-Time %,"The primary tasks of parks maintenance include trash removal, grass cutting, field lining, and maintenance of fencing, benches, play equipment, irrigation; as well as graffiti removal. We aim to address at least 80% of park lighting requests within seven business days and all other parks maintenance requests within five business days.",PARKS MAINTENANCE ON-TIME %
Part 1 Crimes,"Index crimes reported to the FBI for serious offenses, including aggravated assault, forcible rape, murder, robbery, arson, burglary, larceny-theft, and motor vehicle theft. In CityScore this metric excludes homicides, shootings and stabbings. A CityScore greater than 1 indicates a decrease in Part 1 Crimes relative to the historical average.",PART 1 CRIMES
Pothole Repair On-Time %,The Public Works Department repairs potholes to increase safety and reduce vehicular damage. We aim to repair at least 80% of potholes reported through 311 within one business day.,POTHOLE ON-TIME %
Shootings,Assault and battery (non-fatal) with a firearm. A CityScore greater than 1 indicates a decrease in shootings relative to the historical average.,SHOOTINGS (TREND)
Sign Installation On-Time %,The Transportation Department installs and maintains signs to provide clarity and safety on Boston's streets. We aim to fix damaged signs or install approved new signs within 30 calendar days at least 80% of the time.,SIGN INSTALLATION ON-TIME %
Signal Repair On-Time %,The Transportation Department is responsible for repairing broken or malfunctioning traffic signals. We aim to repair at least 80% of traffic signal outages reported through 311 within 24 hours.,SIGNAL REPAIR ON-TIME %
Stabbings,Assault and battery (non-fatal) with a knife. A CityScore greater than 1 indicates a decrease in stabbings relative to the historical average.,STABBINGS (TREND)
Streetlight Outages On-Time %,The Public Works Department is tasked with repairing broken or malfunctioning streetlights. We aim to repair at least 80% of streetlight outages reported through 311 within 10 business days.,STREETLIGHT ON-TIME %
Tree Maintenance On-Time %,"The tree maintenance division provides maintenance, including pruning and removal, to 38,000 street trees and 2600 acres of wooded parkland. We aim to perform maintenance on at least 80% of trees reported through 311 within 365 calendar days.",TREE MAINTENANCE ON-TIME %
311 Constituent Experience Surveys,"If you provide an email address when making a 311 request, you will be notified when your case is closed and asked to rate your experience. We aim to receive positive feedback on our constituent experience surveys.",311 CONSTITUENT EXPERIENCE SURVEYS
